willing_for_participation,,,role_in_conference,result_after_hearing_Education_Keynote,panel_attended,pannel_attended_all_apply,"Please explain more, if you choose ""None of the above"" for the previous question.",knowledge_increase,"desire_for_collaboration 
",Grant_Application_Intent,Volunteering _in_community,involving_panelists_ community,Well_representation_of_Diverse panelists,Well_representation_of_Multiple_service_models,committed_to_being_engaged_in_community,Learnings_from_LUD,Inspired_for_being_more_socially_committed_responsible,experience_with_networking_with_other_LUD_participants_or_speakers,conference_improovement,comments_or_suggestions
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,That the table should be open for all diverse individuals as it brings a whole efficient knowledge sharing ,Yes it did. After the speech and the panel discussion it was very interesting to know the perspective of aboard students and individuals which made me feel incomplete where now I know i have many things to do in society ,Participant,It is perfect as it is.,None 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,No,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Be more passionate about ur dreams and get engaged with the community ,Yes,Great,Continue as the same,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Dream , find purpose, connect, plan , action ","Yes, We all are responsible for whatever is happening and together we can",Great,By discussing about solution as well of different problems ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Many questions and ideas were came to know which are need to be reformed,Since intellectual ideas meet here,Not met,"To be process the keynote, feedback and implement it to see the reform","How to implement these ideas is the biggest concern? 
Since many barrier needs to be face and one such big one is political."
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,My key takeaways from this conference is that we as common citizens need to realise that the Edication Board is already doing the best it can to bring about policies accomodating all aspect of the society. We need to cooperate with them from our end. ,"Yes. Hearing such inspiring stories of such great people, has given me an insight as to how I can do the same and make this world the place that I time and again have dreamt for it to become.",It had been great and I am looking forward for more such oppurtunities.,I personally did not find a fault with it.,None
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Giving back to the society ,"yes, by joining an organization.",Good,Can be more interactive ,No
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,"The panel discussion was enlightening. I learnt about the different aspects of diversity, inclusivity, equity, and accessibility. ","Yes, I am determined to bring about changes with regards to accessibility in my society to whatever extent I can. ",I got to learn a lot from them with regards to their perspectives that might vary depending on the culture. ,The conference can be extended so that all the panel discussions can be open to all the participants. ,Nil
"Yes, I am happy to participate in this survey",,,Educator,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Experiential methods and Community Engagement,Connecting with all participants and learning their culture,Interdisciplinary learning,-,-
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Neutral,.,Yes ,Had a great time learning Many new things.,.,.
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Agree,Agree,Neutral,Disagree,Agree,Strongly agree,Agree,Agree,Helping others in mainly education ,Yes ,Good,It's good,No
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,I learned how to connect and how it helps to improve my dreams. The need of inclusivity in life and there are people who really need to be included more than help.,Yes.   people from different places who is showing how they are shining in their field.,"It was so good and the cultural programme hits different
",More promotion is needed as many students still don't know about Dreams,More promotion in students
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,How to commit and engage more for my community,Yes,Very motivating and informative,It was very good,No
